epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.22,1.25,2.69753,3.83119,1.43408,0.00333,1,0.34557,0.21649,0.00295,0.88571,0.34467,0.2064,1.06918,2.22355,3.86418,1.36522,0.00016,0.00016,0.00016
2,33.5448,1.0814,2.30067,2.76944,1.1904,0.95373,0.58918,0.76199,0.39652,0.95373,0.58918,0.762,0.44553,1.10111,2.21726,3.24532,1.24648,0.000330383,0.000330383,0.000330383
3,47.5859,1.1198,2.0818,2.18421,1.16076,0.00333,1,0.72454,0.47225,0.00333,1,0.74436,0.30083,1.01296,2.95586,3.43028,1.21338,0.000490583,0.000490583,0.000490583
4,61.5199,0.98403,1.77118,1.69197,1.04108,1,0.35786,0.63859,0.37587,0.84007,0.30072,0.52483,0.17508,1.1447,3.14349,3.34862,1.28564,0.0006406,0.0006406,0.0006406
5,75.0046,1.03453,1.8391,1.51842,1.03982,0.91818,0.34286,0.50584,0.25983,0.91818,0.34286,0.50646,0.31279,1.34775,2.33338,3.40842,1.41542,0.000780434,0.000780434,0.000780434
6,89.5544,0.98049,1.6148,1.46806,0.99335,0.93332,0.45714,0.5535,0.30994,0.93332,0.45714,0.54913,0.33528,1.23081,2.401,3.36775,1.30262,0.000910086,0.000910086,0.000910086
7,103.669,1.07552,1.90599,1.51348,1.06626,0.87578,0.51429,0.5759,0.33364,0.86759,0.51429,0.57504,0.36534,1.15657,2.20779,2.9424,1.27533,0.00102955,0.00102955,0.00102955
8,117.151,0.95228,1.44112,1.36163,1.00488,0.82559,0.48571,0.61253,0.40439,0.85887,0.48571,0.55861,0.30762,1.19371,3.64612,2.92187,1.39148,0.00113884,0.00113884,0.00113884
9,130.288,0.91329,1.47718,1.43825,1.04407,0.55423,0.34286,0.35324,0.24753,0.55423,0.34286,0.35012,0.20038,1.28197,3.81447,3.41669,1.4109,0.00123794,0.00123794,0.00123794
10,143.777,0.91632,1.68951,1.41132,1.02824,0.75527,0.74286,0.75095,0.53086,0.75527,0.74286,0.74968,0.49143,1.19744,3.17595,2.51685,1.25896,0.00132686,0.00132686,0.00132686
11,158.2,1.04333,1.59323,1.46007,1.04906,0.66625,0.5704,0.65544,0.45219,0.66625,0.5704,0.62983,0.27325,1.05342,5.30183,2.40459,1.1645,0.0014056,0.0014056,0.0014056
12,172.076,0.98059,1.4459,1.42724,1.02622,0.54627,0.4,0.49891,0.34768,0.54627,0.4,0.46901,0.27155,1.01093,4.40641,3.29376,1.10263,0.00137771,0.00137771,0.00137771
13,185.618,0.88923,1.56583,1.30332,1.03218,0.85345,0.4995,0.7196,0.47888,0.80517,0.47265,0.64993,0.32701,1.03332,4.6624,2.65426,1.15447,0.00132114,0.00132114,0.00132114
14,199.449,0.94084,1.75969,1.39355,1.07336,0.76123,0.82857,0.83028,0.52012,0.74698,0.75937,0.7338,0.33686,1.08104,5.00679,2.09284,1.18405,0.00126457,0.00126457,0.00126457
15,212.931,0.96407,1.49081,1.28329,1.04597,0.96504,0.78884,0.89462,0.57013,0.89529,0.73306,0.76087,0.34823,1.03499,4.84856,1.82666,1.16743,0.001208,0.001208,0.001208
16,226.116,0.91354,1.48589,1.32827,1.01408,0.91897,0.74286,0.82812,0.54941,0.86162,0.71166,0.72895,0.35383,1.07759,4.72117,1.95063,1.18932,0.00115143,0.00115143,0.00115143
17,239.548,0.90281,1.50617,1.18867,1.01966,0.90639,0.68571,0.77985,0.56904,0.87873,0.68571,0.73029,0.35658,0.97698,4.80588,1.94124,1.16174,0.00109486,0.00109486,0.00109486
18,253.327,0.93884,1.41088,1.19993,1.01647,0.87409,0.8,0.83893,0.61171,0.90599,0.82611,0.80066,0.3789,0.98624,4.55162,1.76322,1.14922,0.00103829,0.00103829,0.00103829
19,266.878,0.89342,1.42186,1.13976,0.99118,0.85059,0.82857,0.8799,0.63085,0.81766,0.8,0.81993,0.40886,0.94992,3.62514,1.91979,1.10214,0.000981714,0.000981714,0.000981714
20,280.849,0.90775,1.56589,1.29327,1.01164,0.79774,0.90169,0.88095,0.64151,0.77302,0.87593,0.84396,0.45649,0.92056,3.1604,1.81283,1.09747,0.000925143,0.000925143,0.000925143
21,294.69,0.86535,1.36051,1.23203,0.99086,0.88131,0.84881,0.89155,0.63697,0.88131,0.84881,0.86172,0.51139,0.98322,2.93343,1.67999,1.15158,0.000868571,0.000868571,0.000868571
22,307.854,0.77933,1.26502,1.01795,0.96167,0.82446,0.91429,0.94018,0.64213,0.9028,0.88571,0.90339,0.53599,1.02816,2.65531,1.56914,1.19825,0.000812,0.000812,0.000812
23,322.084,0.79536,1.25749,1.02667,0.96307,0.88497,0.87937,0.92752,0.62637,0.85631,0.85148,0.88522,0.5253,1.06871,2.79348,1.61363,1.24909,0.000755429,0.000755429,0.000755429
24,335.657,0.81994,1.38665,1.0652,0.98111,0.65701,0.94286,0.85326,0.54604,0.81974,0.74286,0.81766,0.44168,1.1937,3.11401,1.80847,1.32639,0.000698857,0.000698857,0.000698857
25,349.212,0.77935,1.33509,0.92184,0.9714,0.71393,0.77143,0.79693,0.49428,0.69235,0.74286,0.71904,0.38943,1.14879,3.36258,1.89784,1.29042,0.000642286,0.000642286,0.000642286
26,362.36,0.70638,1.24156,1.18642,0.89847,0.74132,0.74286,0.74599,0.49317,0.74132,0.74286,0.71354,0.39337,1.10751,3.46905,1.81508,1.26959,0.000585714,0.000585714,0.000585714
27,375.751,0.68008,1.17097,1.08324,0.9028,0.84085,0.755,0.84462,0.58689,0.9013,0.77143,0.83401,0.49203,1.01438,2.93292,1.63539,1.18119,0.000529143,0.000529143,0.000529143
28,389.096,0.65903,1.15492,1.15331,0.88574,0.87006,0.82857,0.84561,0.60035,0.87833,0.82857,0.83958,0.50377,1.05133,2.84175,1.53082,1.1831,0.000472571,0.000472571,0.000472571
29,402.773,0.6531,1.16906,1.08468,0.90557,0.896,0.8,0.8391,0.58734,0.93128,0.82857,0.84214,0.49841,1.09349,2.7758,1.48867,1.19563,0.000416,0.000416,0.000416
30,416.636,0.6275,1.18643,1.01852,0.87544,0.87838,0.82546,0.82905,0.57562,0.90615,0.82857,0.83683,0.50177,1.05681,2.6285,1.47664,1.17337,0.000359429,0.000359429,0.000359429
31,429.949,0.60499,1.19488,0.96153,0.8999,0.87857,0.82689,0.82573,0.58232,0.89503,0.82857,0.83327,0.50604,0.9959,2.55797,1.4577,1.15169,0.000302857,0.000302857,0.000302857
32,442.921,0.60731,1.14492,0.97014,0.89013,0.85185,0.82158,0.82003,0.58376,0.8891,0.82857,0.8301,0.49983,0.97192,2.58406,1.44558,1.14386,0.000246286,0.000246286,0.000246286
33,456.296,0.58988,1.14646,0.96916,0.87703,0.81832,0.8,0.82421,0.58015,0.85347,0.82857,0.82853,0.49196,0.96889,2.66065,1.44217,1.13954,0.000189714,0.000189714,0.000189714
34,469.841,0.56816,1.14106,0.94458,0.87172,0.82242,0.8,0.81496,0.57915,0.8518,0.82857,0.82248,0.48204,0.97792,2.69699,1.44306,1.14455,0.000133143,0.000133143,0.000133143
35,483.437,0.57166,1.15672,0.92595,0.82333,0.79253,0.76417,0.8006,0.57802,0.81941,0.77797,0.81462,0.48086,0.98244,2.72057,1.4392,1.14813,7.65714e-05,7.65714e-05,7.65714e-05
